"","c","photoperiod_difference","temperature","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc"
"gradient12"," photo_diff_day chinook0_hatchery_perhour_day_inp",1,0,0,0,0,0,1,-2744.88583525078,5573.54054569417,41,47,TRUE,367.19637793224
"gradient31"," photo_diff_day flow_day_inp temp_diff_day",1,0,1,1,0,0,0,-2745.00668586965,5573.7822469319,41,42,TRUE,367.438079169966
"gradient32"," photo_diff_day flow_day_inp chinook0_hatchery_perhour_day_inp",1,0,0,1,0,0,1,-2744.01467585648,5573.88546682088,42,41,TRUE,367.541299058947
"gradient42"," photo_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,0,0,0,1,-2744.73623030242,5575.32857571275,42,45,TRUE,368.984407950814
"gradient72"," photo_diff_day flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",1,0,1,1,0,0,1,-2743.9355376914,5575.81657666815,43,42,TRUE,369.472408906216
"gradient43"," flow_day_inp temp_day_inp lunar_phase_day",0,1,0,1,1,0,0,-2746.41153277162,5576.59194073585,41,36,TRUE,370.247772973915
"gradient13"," flow_day_inp temp_day_inp",0,1,0,1,0,0,0,-2747.91051569878,5577.50480963165,40,33,TRUE,371.160641869719
"gradient18"," temp_day_inp lunar_phase_day",0,1,0,0,1,0,0,-2748.23000547154,5578.14378917717,40,33,TRUE,371.799621415235
"gradient24"," lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,0,1,-2747.29169329515,5578.35226178291,41,36,TRUE,372.008094020978
"gradient84"," flow_day_inp temp_day_inp lunar_phase_day temp_diff_day",0,1,1,1,1,0,0,-2746.37769140702,5578.61149792196,42,43,TRUE,372.267330160023
"gradient2"," temp_day_inp",0,1,0,0,0,0,0,-2749.95133544981,5579.50349183344,39,27,TRUE,373.159324071505
"gradient45"," flow_day_inp temp_day_inp temp_diff_day",0,1,1,1,0,0,0,-2747.87547760931,5579.51983041122,41,35,TRUE,373.175662649282
"gradient6"," chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,1,-2749.02965130647,5579.74308084702,40,28,TRUE,373.398913085083
"gradient54"," temp_day_inp lunar_phase_day temp_diff_day",0,1,1,0,1,0,0,-2748.09798150493,5579.96483820246,41,34,TRUE,373.620670440524
"gradient61"," lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,0,1,-2747.28619981926,5580.42851474643,42,36,TRUE,374.084346984491
"gradient49"," flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,0,1,-2747.29085273846,5580.43782058482,42,48,TRUE,374.09365282289
"gradient20"," temp_day_inp temp_diff_day",0,1,1,0,0,0,0,-2749.80971080259,5581.30319983927,40,31,TRUE,374.95903207734
"gradient17"," flow_day_inp chinook0_hatchery_perhour_day_inp",0,0,0,1,0,0,1,-2749.01454870248,5581.79797259757,41,37,TRUE,375.453804835636
"gradient27"," temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,0,1,-2749.02533863092,5581.81955245445,41,34,TRUE,375.475384692513
"gradient91"," flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,0,1,-2747.28436113854,5582.51422356243,43,45,TRUE,376.170055800495
"gradient3"," lunar_phase_day",0,0,0,0,1,0,0,-2751.85319861967,5583.30721817316,39,33,TRUE,376.963050411222
"gradient52"," flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,0,1,-2749.00737972789,5583.8708745637,42,39,TRUE,377.526706801768
"gradient14"," flow_day_inp lunar_phase_day",0,0,0,1,1,0,0,-2751.15325435366,5583.9902869414,40,30,TRUE,377.646119179463
"gradient1"," flow_day_inp",0,0,0,1,0,0,0,-2752.74907900665,5585.09897894712,39,32,TRUE,378.754811185187
"gradient23"," lunar_phase_day temp_diff_day",0,0,1,0,1,0,0,-2751.83903141829,5585.36184107066,40,34,TRUE,379.017673308729
"gradient48"," flow_day_inp lunar_phase_day temp_diff_day",0,0,1,1,1,0,0,-2751.08341503481,5585.93570526222,41,39,TRUE,379.591537500283
"gradient5"," temp_diff_day",0,0,1,0,0,0,0,-2753.5759669788,5586.75275489141,39,30,TRUE,380.408587129476
"gradient16"," flow_day_inp temp_diff_day",0,0,1,1,0,0,0,-2752.68023888845,5587.04425601099,40,34,TRUE,380.700088249053
