"","c","photoperiod_difference","temperature","temperature_difference","flow","lunar_phase","flow_difference","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"gradient24"," lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,0,1,0,1,-2747.29,5578.35,41,36,TRUE,372.01,0,0,1
"gradient84"," flow_day_inp temp_day_inp lunar_phase_day temp_diff_day",0,1,1,1,1,0,0,-2746.38,5578.61,42,43,TRUE,372.27,0,0,1
"gradient2"," temp_day_inp",0,1,0,0,0,0,0,-2749.95,5579.5,39,27,TRUE,373.16,0,0,1
"gradient45"," flow_day_inp temp_day_inp temp_diff_day",0,1,1,1,0,0,0,-2747.88,5579.52,41,35,TRUE,373.18,0,0,1
"gradient6"," chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,1,-2749.03,5579.74,40,28,TRUE,373.4,0,0,1
"gradient54"," temp_day_inp lunar_phase_day temp_diff_day",0,1,1,0,1,0,0,-2748.1,5579.96,41,34,TRUE,373.62,0,0,1
"gradient61"," lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,1,0,1,-2747.29,5580.43,42,36,TRUE,374.08,0,0,1
"gradient49"," flow_day_inp lunar_phase_day chinook0_hatchery_perhour_day_inp",0,0,0,1,1,0,1,-2747.29,5580.44,42,48,TRUE,374.09,0,0,1
"gradient20"," temp_day_inp temp_diff_day",0,1,1,0,0,0,0,-2749.81,5581.3,40,31,TRUE,374.96,0,0,1
"gradient17"," flow_day_inp chinook0_hatchery_perhour_day_inp",0,0,0,1,0,0,1,-2749.01,5581.8,41,37,TRUE,375.45,0,0,1
"gradient27"," temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,0,0,0,1,-2749.03,5581.82,41,34,TRUE,375.48,0,0,1
"gradient91"," flow_day_inp lunar_phase_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,1,0,1,-2747.28,5582.51,43,45,TRUE,376.17,0,0,1
"gradient3"," lunar_phase_day",0,0,0,0,1,0,0,-2751.85,5583.31,39,33,TRUE,376.96,0,0,1
"gradient52"," flow_day_inp temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,1,1,0,0,1,-2749.01,5583.87,42,39,TRUE,377.53,0,0,1
"gradient14"," flow_day_inp lunar_phase_day",0,0,0,1,1,0,0,-2751.15,5583.99,40,30,TRUE,377.65,0,0,1
"gradient127"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-2753.59,5584.69,38,27,TRUE,378.35,0,0,1
"gradient128"," photo_diff_day flow_day_inp temp_day_inp lunar_phase_day flow_diff_day temp_diff_day chinook0_hatchery_perhour_day_inp",0,0,0,0,0,0,0,-2753.59,5584.69,38,27,TRUE,378.35,0,0,1
"gradient1"," flow_day_inp",0,0,0,1,0,0,0,-2752.75,5585.1,39,32,TRUE,378.75,0,0,1
"gradient23"," lunar_phase_day temp_diff_day",0,0,1,0,1,0,0,-2751.84,5585.36,40,34,TRUE,379.02,0,0,1
"gradient48"," flow_day_inp lunar_phase_day temp_diff_day",0,0,1,1,1,0,0,-2751.08,5585.94,41,39,TRUE,379.59,0,0,1
"gradient5"," temp_diff_day",0,0,1,0,0,0,0,-2753.58,5586.75,39,30,TRUE,380.41,0,0,1
"gradient16"," flow_day_inp temp_diff_day",0,0,1,1,0,0,0,-2752.68,5587.04,40,34,TRUE,380.7,0,0,1
